event_id,user_id,user_age,user_gender,user_region,subscription_type,signup_date,last_active,device,session_id,content_id,title,content_type,primary_genre,genres,language,release_year,duration_min,director,main_cast,description,avg_rating,user_rating,watch_time_min,watch_percentage,completed,watch_date,play_count,is_original,popularity_rank,imdb_score,maturity_rating,tags_count,num_seasons,episodes,recommendation_source,churn_label,social_shares,watch_start_time,audio_languages,subtitles,bitrate_kbps,network,resolution,mood_tag,metadata_text
ev_00001,user_0398,26,Female,DL,Standard,12-05-2021,12-09-2024,GameConsole,sess_13478,content_0273,Title 58 S1,Series,Thriller,Action,French,2003,53,Director_95,Actor_303,A thriller piece about friendship.,2.7,3.1,6,11.3,0,08-09-2024,7,0,452,5.7,15+,12,1,6,personalized,0,0,08-09-2024 03:09,"English,Tamil",No,3000,WiFi,480p,Educational,Title 58 S1 | Thriller | Director_95 | French
ev_00002,user_0158,53,Other,WB,Free,29-05-2021,23-02-2024,Web,sess_46434,content_0231,Title 275 S1,Series,Comedy,Romance|Documentary|Thriller,French,2002,12,Director_85,"Actor_396,Actor_149",A comedy piece about love.,8.5,,7,58.3,0,25-01-2024,5,0,1438,8.6,U,9,3,36,trending,0,4,25-01-2024 07:29,"Korean,English",Yes,800,WiFi,4K,Suspense,Title 275 S1 | Comedy | Director_85 | French
ev_00003,user_0360,13,Other,AP,Premium,04-02-2018,05-07-2024,Mobile,sess_74686,content_0086,Title 109 S5,Series,Thriller,Fantasy|Sci-Fi|Animation,Hindi,2008,18,Director_32,"Actor_383,Actor_300,Actor_220",A thriller piece about space.,5.3,10,8,44.4,0,05-06-2024,3,1,1623,7.1,U,6,7,77,personalized,0,5,05-06-2024 03:54,"Korean,French",No,800,WiFi,4K,Dark,Title 109 S5 | Thriller | Director_32 | Hindi
ev_00004,user_0308,44,Male,WB,Basic,10-06-2022,25-08-2025,Mobile,sess_79514,content_0126,Title 2 S3,Movie,Horror,Romance,Korean,2020,149,Director_78,"Actor_79,Actor_192",A horror piece about family.,3.6,,110,73.8,0,02-08-2025,6,1,1800,8.9,15+,3,0,1,organic,0,4,02-08-2025 04:17,French,No,3000,5G,1080p,Thrilling,Title 2 S3 | Horror | Director_78 | Korean
ev_00005,user_0184,49,Other,DL,Free,04-09-2017,11-04-2023,Mobile,sess_92719,content_0025,Title 217 S2,Movie,Romance,Documentary|Fantasy,Spanish,2014,50,Director_32,"Actor_33,Actor_174",A romance piece about love.,6.6,3,50,100,1,14-03-2023,6,1,146,6.1,15+,10,0,1,personalized,0,3,14-03-2023 08:17,"Korean,Telugu",Yes,800,4G,4K,Suspense,Title 217 S2 | Romance | Director_32 | Spanish
ev_00006,user_0051,23,Female,KA,Free,10-11-2017,15-06-2025,Web,sess_19880,content_0145,Title 211 S4,Movie,Comedy,Sci-Fi,French,2010,47,Director_32,"Actor_98,Actor_275",A comedy piece about friendship.,3.5,5.2,23,48.9,0,14-06-2025,1,0,1985,3.6,UA,2,0,1,personalized,0,0,14-06-2025 13:19,"Korean,Telugu",No,2000,3G,720p,Dark,Title 211 S4 | Comedy | Director_32 | French
ev_00007,user_0120,29,Female,KA,Premium,27-02-2021,29-11-2024,Web,sess_40828,content_0013,Title 112 S1,Movie,Documentary,Drama,Spanish,2015,148,Director_118,"Actor_30,Actor_492",A documentary piece about space.,3.1,6.4,85,57.4,0,22-11-2024,1,0,1269,3.5,15+,4,0,1,organic,0,1,22-11-2024 22:55,"Telugu,Tamil",Yes,800,3G,480p,Feel-good,Title 112 S1 | Documentary | Director_118 | Spanish
ev_00008,user_0340,70,Male,MH,Basic,07-03-2020,11-11-2023,Mobile,sess_96951,content_0212,Title 110 S5,Series,Action,Comedy|Thriller,Tamil,2009,20,Director_57,"Actor_314,Actor_414,Actor_335",A action piece about space.,2.6,,1,5,0,03-11-2023,3,0,558,4.7,UA,11,6,42,personalized,0,0,03-11-2023 21:39,"Korean,Tamil",Yes,800,WiFi,720p,Educational,Title 110 S5 | Action | Director_57 | Tamil
ev_00009,user_0352,14,Male,WB,Basic,23-12-2017,25-11-2023,Mobile,sess_57795,content_0025,Title 83 S4,Series,Horror,Comedy,English,2022,19,Director_70,Actor_428,A horror piece about mystery.,6.6,2.1,16,84.2,0,12-11-2023,2,0,725,7.7,18+,9,3,21,trending,0,5,12-11-2023 11:20,"Korean,French",Yes,1500,5G,480p,Heartwarming,Title 83 S4 | Horror | Director_70 | English
ev_00010,user_0184,51,Female,UP,Standard,15-09-2022,16-10-2023,GameConsole,sess_56025,content_0068,Title 20 S4,Movie,Thriller,Documentary|Romance,Korean,2007,77,Director_4,"Actor_205,Actor_169",A thriller piece about mystery.,8.6,,26,33.8,0,13-10-2023,6,0,1924,3.2,15+,2,0,1,personalized,0,2,13-10-2023 10:42,"Spanish,Korean",Yes,2000,5G,1080p,Feel-good,Title 20 S4 | Thriller | Director_4 | Korean
